village_id,panchayat_id,lat,lon
VIL_0001,KL_PANCH_0001,12.75962,74.96348
VIL_0002,KL_PANCH_0002,12.73285,74.88874
VIL_0003,KL_PANCH_0003,12.68989,75.00191
VIL_0004,KL_PANCH_0004,12.70521,74.94448
VIL_0005,KL_PANCH_0005,12.66545,74.92529
VIL_0006,KL_PANCH_0006,12.62953,75.01788
VIL_0007,KL_PANCH_0007,12.59982,74.95973
VIL_0008,KL_PANCH_0008,12.65172,75.108
VIL_0009,KL_PANCH_0009,12.54175,75.00368
VIL_0010,KL_PANCH_0010,12.5388,74.9683
VIL_0011,KL_PANCH_0011,12.59443,75.06267
VIL_0012,KL_PANCH_0012,12.58159,75.1244
VIL_0013,KL_PANCH_0013,12.60558,75.17255
VIL_0014,KL_PANCH_0014,12.5334,75.06999
VIL_0015,KL_PANCH_0015,12.55712,75.17074
VIL_0016,KL_PANCH_0016,12.50223,74.99184
VIL_0017,KL_PANCH_0017,12.47252,75.02528
VIL_0018,KL_PANCH_0018,12.51578,75.12399
VIL_0019,KL_PANCH_0019,12.45814,75.14153
VIL_0020,KL_PANCH_0020,12.55638,75.24662
VIL_0021,KL_PANCH_0021,12.49339,75.24965
VIL_0022,KL_PANCH_0022,12.43245,75.24349
VIL_0023,KL_PANCH_0023,12.46406,75.35454
VIL_0024,KL_PANCH_0024,12.37783,75.19811
VIL_0025,KL_PANCH_0025,12.38433,75.31089
VIL_0026,KL_PANCH_0026,12.32387,75.2338
VIL_0027,KL_PANCH_0027,12.30275,75.37607
VIL_0028,KL_PANCH_0028,12.32631,75.32238
VIL_0029,KL_PANCH_0029,12.43755,75.02593
VIL_0030,KL_PANCH_0030,12.40763,75.05445
VIL_0031,KL_PANCH_0031,12.34733,75.08171
VIL_0032,KL_PANCH_0032,12.39847,75.12364
VIL_0033,KL_PANCH_0033,12.29328,75.10848
VIL_0034,KL_PANCH_0034,12.31365,75.14882
VIL_0035,KL_PANCH_0035,12.25472,75.13121
VIL_0036,KL_PANCH_0036,12.24579,75.22422
VIL_0037,KL_PANCH_0037,12.21794,75.14955
VIL_0038,KL_PANCH_0038,12.20076,75.18105
VIL_0039,KL_PANCH_0039,12.1369,75.14752
VIL_0040,KL_PANCH_0040,12.17422,75.15624
VIL_0041,KL_PANCH_0041,12.13739,75.18002
VIL_0042,KL_PANCH_0042,12.02333,75.20767
VIL_0043,KL_PANCH_0043,12.12154,75.22811
VIL_0044,KL_PANCH_0044,12.17807,75.2068
VIL_0045,KL_PANCH_0045,12.17701,75.24834
VIL_0046,KL_PANCH_0046,12.2109,75.32408
VIL_0047,KL_PANCH_0047,12.26847,75.4093
VIL_0048,KL_PANCH_0048,12.17832,75.32085
VIL_0049,KL_PANCH_0049,12.11659,75.31757
VIL_0050,KL_PANCH_0050,12.0712,75.26241
VIL_0051,KL_PANCH_0051,12.08328,75.23548
VIL_0052,KL_PANCH_0052,12.02612,75.24448
VIL_0053,KL_PANCH_0053,12.04146,75.2959
VIL_0054,KL_PANCH_0054,12.22977,75.50249
VIL_0055,KL_PANCH_0055,12.20049,75.45114
VIL_0056,KL_PANCH_0056,12.12628,75.41116
VIL_0057,KL_PANCH_0057,12.033,75.35823
VIL_0058,KL_PANCH_0058,12.08185,75.35213
VIL_0059,KL_PANCH_0059,12.02023,75.33049
VIL_0060,KL_PANCH_0060,12.00411,75.29252
VIL_0061,KL_PANCH_0061,11.97141,75.28292
VIL_0062,KL_PANCH_0062,12.05266,75.40234
VIL_0063,KL_PANCH_0063,12.06181,75.46175
VIL_0064,KL_PANCH_0064,12.14792,75.5116
VIL_0065,KL_PANCH_0065,12.11412,75.56657
VIL_0066,KL_PANCH_0066,12.0993,75.60865
VIL_0067,KL_PANCH_0067,12.05673,75.5274
VIL_0068,KL_PANCH_0068,11.99615,75.5423
VIL_0069,KL_PANCH_0069,12.0148,75.50146
VIL_0070,KL_PANCH_0070,11.9665,75.47006
VIL_0071,KL_PANCH_0071,11.98609,75.44323
VIL_0072,KL_PANCH_0072,11.95996,75.4102
VIL_0073,KL_PANCH_0073,11.9929,75.36794
VIL_0074,KL_PANCH_0074,11.99196,75.32036
VIL_0075,KL_PANCH_0075,11.96781,75.34642
VIL_0076,KL_PANCH_0076,11.91718,75.32097
VIL_0077,KL_PANCH_0077,11.92732,75.34863
VIL_0078,KL_PANCH_0078,11.95753,75.35247
