village_id,panchayat_id,name,name_ml,lat,lon,osm_id
VIL_0001,KL_PANCH_0001,Vorkady,വോര്‍ക്കാടി,12.75962,74.96348,relation/11299737
VIL_0002,KL_PANCH_0002,Manjeswaram,മഞ്ചേശ്വരം,12.73285,74.88874,relation/11299738
VIL_0003,KL_PANCH_0003,Paivalike,പൈവെളിഗെ,12.68989,75.00191,relation/11299769
VIL_0004,KL_PANCH_0004,Meenja,മീഞ്ച,12.70521,74.94448,relation/11299770
VIL_0005,KL_PANCH_0005,Mangalpaddy,മംഗൽപ്പാടി,12.66545,74.92529,relation/11299774
VIL_0006,KL_PANCH_0006,Puthige,പുത്തിഗെ,12.62953,75.01788,relation/11299816
VIL_0007,KL_PANCH_0007,Kumbala,കുമ്പള,12.59982,74.95973,relation/11299817
VIL_0008,KL_PANCH_0008,Enmakaje,എന്‍മകജെ,12.65172,75.108,relation/11299835
VIL_0009,KL_PANCH_0009,Madhur,മധൂര്‍,12.54175,75.00368,relation/11299934
VIL_0010,KL_PANCH_0010,Mogral-Puthur,മൊഗ്രാൽ-പുത്തൂർ,12.5388,74.9683,relation/11299935
VIL_0011,KL_PANCH_0011,Badiadka,ബദിയടുക്ക,12.59443,75.06267,relation/11299947
VIL_0012,KL_PANCH_0012,Kumbadaje,കുംബഡാജെ,12.58159,75.1244,relation/11299962
VIL_0013,KL_PANCH_0013,Beloor,ബേലൂര്‍,12.60558,75.17255,relation/11299974
VIL_0014,KL_PANCH_0014,Chengala,ചെങ്കള,12.5334,75.06999,relation/11299992
VIL_0015,KL_PANCH_0015,Karaduka,കാറഡുക്ക,12.55712,75.17074,relation/11299993
VIL_0016,KL_PANCH_0016,Kasaragod,കാസർഗോഡ്,12.50223,74.99184,relation/11300007
VIL_0017,KL_PANCH_0017,Chemnad,ചെമ്മനാട്,12.47252,75.02528,relation/11300021
VIL_0018,KL_PANCH_0018,Muliyar,മൂളിയാര്‍,12.51578,75.12399,relation/11300035
VIL_0019,KL_PANCH_0019,Bedadka,ബേടഡുക്ക,12.45814,75.14153,relation/11300057
VIL_0020,KL_PANCH_0020,Delampadi,ദേലമ്പാടി,12.55638,75.24662,relation/11300083
VIL_0021,KL_PANCH_0021,Kuttikol,കുറ്റിക്കോല്‍,12.49339,75.24965,relation/11300084
VIL_0022,KL_PANCH_0022,Kallar,കള്ളാര്‍,12.43245,75.24349,relation/11302618
VIL_0023,KL_PANCH_0023,Pananthadi,പനത്തടി,12.46406,75.35454,relation/11302645
VIL_0024,KL_PANCH_0024,Kodom-Belur,കോടോം-ബേളൂർ,12.37783,75.19811,relation/11302664
VIL_0025,KL_PANCH_0025,Balal,ബളാല്‍,12.38433,75.31089,relation/11302684
VIL_0026,KL_PANCH_0026,Kinanur-Karindalam,കിനാനീർ-കരിന്തളം,12.32387,75.2338,relation/11302743
VIL_0027,KL_PANCH_0027,East Eleri,ഈസ്റ്റ് എളേരി,12.30275,75.37607,relation/11302773
VIL_0028,KL_PANCH_0028,West Eleri,വെസ്റ്റ് എളേരി,12.32631,75.32238,relation/11302774
VIL_0029,KL_PANCH_0029,Uduma,ഉദുമ,12.43755,75.02593,relation/11302801
VIL_0030,KL_PANCH_0030,Pallikkara,പള്ളിക്കര,12.40763,75.05445,relation/11302814
VIL_0031,KL_PANCH_0031,Ajanur,അജാനൂർ,12.34733,75.08171,relation/11302834
VIL_0032,KL_PANCH_0032,Pullur-Periya,പുല്ലൂര്‍-പെരിയ,12.39847,75.12364,relation/11302874
VIL_0033,KL_PANCH_0033,Kanhangad,കാഞ്ഞങ്ങാട്,12.29328,75.10848,relation/11302892
VIL_0034,KL_PANCH_0034,Madikai,മടിക്കൈ,12.31365,75.14882,relation/11302958
VIL_0035,KL_PANCH_0035,Nileswaram,നീലേശ്വരം,12.25472,75.13121,relation/11303000
VIL_0036,KL_PANCH_0036,Kayyur-Chimeni,കയ്യൂർ-ചീമേനി,12.24579,75.22422,relation/11303002
VIL_0037,KL_PANCH_0037,Cheruvathur,ചെറുവത്തൂര്‍,12.21794,75.14955,relation/11303040
VIL_0038,KL_PANCH_0038,Pilicode,പിലിക്കോട്,12.20076,75.18105,relation/11303050
VIL_0039,KL_PANCH_0039,Valiyaparampa,വലിയപറമ്പ,12.1369,75.14752,relation/11303066
VIL_0040,KL_PANCH_0040,Padanna,പടന്ന,12.17422,75.15624,relation/11303071
VIL_0041,KL_PANCH_0041,Thrikkarippur,തൃക്കരിപ്പൂര്‍,12.13739,75.18002,relation/11303086
VIL_0042,KL_PANCH_0042,Ramanthali,രാമന്തളി,12.02333,75.20767,relation/11303919
VIL_0043,KL_PANCH_0043,Payyannur,പയ്യന്നൂര്‍,12.12154,75.22811,relation/11303941
VIL_0044,KL_PANCH_0044,Karvellur-Peralam,കരിവെള്ളൂര്‍ പെരളം,12.17807,75.2068,relation/11303966
VIL_0045,KL_PANCH_0045,Kankol-Alappadamba,കാങ്കോൽ-ആലപ്പടമ്പ,12.17701,75.24834,relation/11303981
VIL_0046,KL_PANCH_0046,Perongome-Vayakkara,പെരിങ്ങോം-വയക്കര,12.2109,75.32408,relation/11304042
VIL_0047,KL_PANCH_0047,Cherupuzha,ചെറുപുഴ,12.26847,75.4093,relation/11304056
VIL_0048,KL_PANCH_0048,Eramam-Kuttur,എരമം-കുറ്റൂർ,12.17832,75.32085,relation/11304077
VIL_0049,KL_PANCH_0049,Kadannappally-Panapuzha,കടന്നപ്പള്ളി-പാണപ്പുഴ,12.11659,75.31757,relation/11304145
VIL_0050,KL_PANCH_0050,Cheruthazham,ചെറുതാഴം,12.0712,75.26241,relation/11304226
VIL_0051,KL_PANCH_0051,Kunhimangalam,കുഞ്ഞിമംഗലം,12.08328,75.23548,relation/11304231
VIL_0052,KL_PANCH_0052,Madayi,മാടായി,12.02612,75.24448,relation/11304235
VIL_0053,KL_PANCH_0053,Ezhome,ഏഴോം,12.04146,75.2959,relation/11304237
VIL_0054,KL_PANCH_0054,Udayagiri,ഉദയഗിരി,12.22977,75.50249,relation/11304271
VIL_0055,KL_PANCH_0055,Alakode,ആലക്കോട്,12.20049,75.45114,relation/11304290
VIL_0056,KL_PANCH_0056,Chapparapadavu,ചപ്പാരപ്പടവ്,12.12628,75.41116,relation/11304332
VIL_0057,KL_PANCH_0057,Thaliparambu,തളിപ്പറമ്പ്,12.033,75.35823,relation/11304399
VIL_0058,KL_PANCH_0058,Pariyaram (Kannur),പരിയാരം (കണ്ണൂർ),12.08185,75.35213,relation/11304400
VIL_0059,KL_PANCH_0059,Pattuvam,പട്ടുവം,12.02023,75.33049,relation/11304475
VIL_0060,KL_PANCH_0060,Cherukunnu,ചെറുകുന്ന്,12.00411,75.29252,relation/11304495
VIL_0061,KL_PANCH_0061,Mattool,മാട്ടൂൽ,11.97141,75.28292,relation/11304600
VIL_0062,KL_PANCH_0062,Kurumathur,കുറുമാത്തൂർ,12.05266,75.40234,relation/11306131
VIL_0063,KL_PANCH_0063,Chengalayi,ചെങ്ങളായി,12.06181,75.46175,relation/11306143
VIL_0064,KL_PANCH_0064,Naduvil,നടുവില്‍,12.14792,75.5116,relation/11306148
VIL_0065,KL_PANCH_0065,Eruvessy,എരുവട്ടി,12.11412,75.56657,relation/11306154
VIL_0066,KL_PANCH_0066,Payyavoor,പയ്യാവൂര്‍,12.0993,75.60865,relation/11306156
VIL_0067,KL_PANCH_0067,Sreekandapuram,ശ്രീകണ്ഠാപുരം,12.05673,75.5274,relation/11306183
VIL_0068,KL_PANCH_0068,Irikkur,ഇരിക്കൂര്‍,11.99615,75.5423,relation/11306191
VIL_0069,KL_PANCH_0069,Malappattam,മലപ്പട്ടം,12.0148,75.50146,relation/11306199
VIL_0070,KL_PANCH_0070,Kuttiatoor,കുറ്റ്യാട്ടൂര്‍,11.9665,75.47006,relation/11306202
VIL_0071,KL_PANCH_0071,Mayyil,മയ്യില്‍,11.98609,75.44323,relation/11306212
