village_id,elevation,land_cover,dist_to_water
VIL_0001,91.0,mixed_agroforestry,28924.0
VIL_0002,8.0,mixed_agroforestry,27720.8
VIL_0003,74.0,mixed_agroforestry,21248.3
VIL_0004,79.0,mixed_agroforestry,23141.6
VIL_0005,25.0,mixed_agroforestry,19331.6
VIL_0006,38.0,mixed_agroforestry,14978.3
VIL_0007,40.0,mixed_agroforestry,11315.4
VIL_0008,196.0,mixed_agroforestry,21853.8
VIL_0009,32.0,coastal_urban,5306.5
VIL_0010,23.0,coastal_urban,4497.4
VIL_0011,59.0,mixed_agroforestry,13811.8
VIL_0012,65.0,mixed_agroforestry,18109.8
VIL_0013,85.0,mixed_agroforestry,23970.5
VIL_0014,91.0,mixed_agroforestry,10450.8
VIL_0015,148.0,mixed_agroforestry,21656.6
VIL_0016,34.0,coastal_urban,1309.0
VIL_0017,47.0,mixed_agroforestry,5788.1
VIL_0018,120.0,mixed_agroforestry,15729.1
VIL_0019,153.0,mixed_agroforestry,18144.2
VIL_0020,88.0,mixed_agroforestry,29612.1
VIL_0021,178.0,mixed_agroforestry,29282.6
VIL_0022,205.0,mixed_agroforestry,29577.6
VIL_0023,128.0,mixed_agroforestry,40858.5
VIL_0024,192.0,mixed_agroforestry,27302.9
VIL_0025,505.0,plantation_rubber_tea_spices,38161.9
VIL_0026,94.0,mixed_agroforestry,33811.4
VIL_0027,98.0,mixed_agroforestry,48203.0
VIL_0028,63.0,mixed_agroforestry,41897.8
VIL_0029,33.0,mixed_agroforestry,8549.2
VIL_0030,40.0,mixed_agroforestry,13070.6
VIL_0031,2.0,mixed_agroforestry,20252.8
VIL_0032,91.0,mixed_agroforestry,19253.7
VIL_0033,2.0,mixed_agroforestry,26889.8
VIL_0034,19.0,mixed_agroforestry,27667.4
VIL_0035,12.0,mixed_agroforestry,31836.8
VIL_0036,88.0,mixed_agroforestry,38763.5
VIL_0037,5.0,mixed_agroforestry,36370.8
VIL_0038,5.0,mixed_agroforestry,39800.4
VIL_0039,1.0,mixed_agroforestry,36956.3
VIL_0040,8.0,mixed_agroforestry,39854.3
VIL_0041,6.0,mixed_agroforestry,35011.5
VIL_0042,123.0,mixed_agroforestry,23031.0
VIL_0043,12.0,mixed_agroforestry,30952.9
VIL_0044,13.0,mixed_agroforestry,37629.8
VIL_0045,64.0,mixed_agroforestry,35883.7
VIL_0046,192.0,mixed_agroforestry,38011.0
VIL_0047,336.0,mixed_agroforestry,44774.6
VIL_0048,97.0,mixed_agroforestry,34429.9
VIL_0049,75.0,mixed_agroforestry,27645.5
VIL_0050,20.0,mixed_agroforestry,24316.7
VIL_0051,12.0,mixed_agroforestry,26788.2
VIL_0052,6.0,mixed_agroforestry,20811.8
VIL_0053,8.0,mixed_agroforestry,19953.1
VIL_0054,149.0,mixed_agroforestry,43305.3
VIL_0055,103.0,mixed_agroforestry,38359.5
VIL_0056,27.0,mixed_agroforestry,29263.1
VIL_0057,32.0,mixed_agroforestry,18146.9
VIL_0058,31.0,mixed_agroforestry,23557.8
VIL_0059,60.0,mixed_agroforestry,16839.1
VIL_0060,1.0,mixed_agroforestry,16170.4
VIL_0061,9.0,mixed_agroforestry,13431.9
VIL_0062,18.0,mixed_agroforestry,21093.8
VIL_0063,29.0,mixed_agroforestry,24549.2
VIL_0064,515.0,plantation_rubber_tea_spices,35551.7
VIL_0065,101.0,mixed_agroforestry,35940.6
VIL_0066,69.0,mixed_agroforestry,37968.4
VIL_0067,90.0,mixed_agroforestry,28346.3
VIL_0068,67.0,mixed_agroforestry,25188.1
VIL_0069,77.0,mixed_agroforestry,23037.7
VIL_0070,51.0,mixed_agroforestry,16904.5
VIL_0071,17.0,mixed_agroforestry,16416.8
VIL_0072,36.0,mixed_agroforestry,11956.6
VIL_0073,40.0,mixed_agroforestry,13804.5
