block_temp,block_rain,block_humidity,elevation,dist_to_water,land_cover,correction_delta
27.44,2.23,97.06,1300.4,31755.9,evergreen_forest,-6.190000000000001
27.73,2.31,96.62,895.4,8436.4,plantation_rubber_tea_spices,-6.010000000000002
27.55,2.62,97.34,1204.7,27445.0,evergreen_forest,-6.27
27.46,2.25,97.04,884.3,22472.5,plantation_rubber_tea_spices,-5.91
27.41,2.07,96.91,1385.2,33900.6,evergreen_forest,-5.510000000000002
27.74,2.6,96.97,946.4,5643.6,plantation_rubber_tea_spices,-6.629999999999999
28.83,0.09,91.8,1557.2,29540.6,evergreen_forest,-7.649999999999999
28.86,0.04,91.68,1427.8,24865.8,evergreen_forest,-7.399999999999999
28.54,0.43,92.76,1884.2,49583.4,evergreen_forest,-7.960000000000001
28.56,0.5,92.81,1220.3,26088.5,evergreen_forest,-6.559999999999999
28.81,0.13,91.88,1432.1,22708.9,evergreen_forest,-5.599999999999998
26.43,0.47,96.81,951.2,34828.6,plantation_rubber_tea_spices,-6.210000000000001
26.49,0.0,96.14,877.6,33105.8,plantation_rubber_tea_spices,-5.759999999999998
26.74,0.0,95.47,688.5,20636.6,plantation_rubber_tea_spices,-5.829999999999998
26.76,0.0,95.41,750.7,21967.3,plantation_rubber_tea_spices,-7.020000000000003
25.78,0.0,97.4,1010.0,38454.1,plantation_rubber_tea_spices,-5.190000000000001
26.36,0.53,97.09,1305.1,51304.9,evergreen_forest,-6.07
26.24,0.0,96.61,1277.5,52848.6,evergreen_forest,-6.719999999999999
26.26,0.0,96.59,1066.8,41253.5,plantation_rubber_tea_spices,-6.91
27.35,0.51,96.76,175.7,27246.3,mixed_agroforestry,-4.310000000000002
27.31,0.64,97.6,175.1,16149.2,mixed_agroforestry,-4.739999999999998
27.3,0.58,97.28,163.5,1360.9,mixed_agroforestry,-4.66
27.32,0.62,97.49,240.1,20016.1,mixed_agroforestry,-4.52
27.45,0.36,95.49,288.7,23950.8,mixed_agroforestry,-4.68
27.56,0.18,93.92,352.5,19497.4,plantation_rubber_tea_spices,-5.259999999999998
27.3,0.57,97.25,138.1,6743.7,mixed_agroforestry,-5.16
27.44,0.0,93.47,588.9,13996.2,plantation_rubber_tea_spices,-5.030000000000001
27.57,0.05,93.53,548.6,6048.6,plantation_rubber_tea_spices,-6.300000000000001
27.43,0.06,94.5,535.8,10581.8,plantation_rubber_tea_spices,-4.620000000000001
